O*NET-SOC 2010 Code,O*NET-SOC 2010 Title,O*NET-SOC 2010 Description
11-2031.00,Public Relations and Fundraising Managers,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client; or if engaged in fundraising, plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations."
11-3011.00,Administrative Services Managers,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, facilities planning and maintenance, custodial operations, and other office support services."
11-3071.02,Storage and Distribution Managers,"Plan, direct, or coordinate the storage or distribution operations within an organization or the activities of organizations that are engaged in storing or distributing materials or products."
11-3071.03,Logistics Managers,"Plan, direct, or coordinate purchasing, warehousing, distribution, forecasting, customer service, or planning services. Manage logistics personnel and logistics systems and direct daily operations."
11-3111.00,Compensation and Benefits Managers,"Plan, direct, or coordinate compensation and benefits activities of an organization."
11-3131.00,Training and Development Managers,"Plan, direct, or coordinate the training and development activities and staff of an organization."
11-9051.00,Food Service Managers,"Plan, direct, or coordinate activities of an organization or department that serves food and beverages."
11-9081.00,Lodging Managers,"Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations."
11-9161.00,Emergency Management Directors,"Plan and direct disaster response or crisis management activities, provide disaster preparedness training, and prepare emergency plans and procedures for natural (e.g., hurricanes, floods, earthquakes), wartime, or technological (e.g., nuclear power plant emergencies or hazardous materials spills) disasters or hostage situations."
11-9199.04,Supply Chain Managers,"Direct or coordinate production, purchasing, warehousing, distribution, or financial forecasting services or activities to limit costs and improve accuracy, customer service, or safety. Examine existing procedures or opportunities for streamlining activities to meet product distribution needs. Direct the movement, storage, or processing of inventory."
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists","Conduct programs of compensation and benefits and job analysis for employer. May specialize in specific areas, such as position classification and pension programs."
13-1199.03,Customs Brokers,Prepare customs documentation and ensure that shipments meet all applicable laws to facilitate the import and export of goods. Determine and track duties and taxes payable and process payments on behalf of client. Sign documents under a power of attorney. Represent clients in meetings with customs officials and apply for duty refunds and tariff reclassifications. Coordinate transportation and storage of imported goods.
13-2099.01,Financial Quantitative Analysts,"Develop quantitative financial products used to inform individuals or financial institutions engaged in saving, lending, investing, borrowing, or managing risk. Investigate methods for financial analysis to create mathematical models used to develop improved analytical tools or advanced financial investment instruments."
13-2099.04,"Fraud Examiners, Investigators and Analysts","Obtain evidence, take statements, produce reports, and testify to findings regarding resolution of fraud allegations. May coordinate fraud detection and prevention activities."
15-1121.00,Computer Systems Analysts,"Analyze science, engineering, business, and other data processing problems to implement and improve computer systems. Analyze user requirements, procedures, and problems to automate or improve existing systems and review computer system capabilities, workflow, and scheduling limitations. May analyze or recommend commercially available software."
15-1134.00,Web Developers,"Design, create, and modify Web sites. Analyze user needs to implement Web site content, graphics, performance, and capacity. May integrate Web sites with other computer applications. May convert written, graphic, audio, and video components to compatible Web formats by using software designed to facilitate the creation of Web and multimedia content."
15-1142.00,Network and Computer Systems Administrators,"Install, configure, and support an organization's local area network (LAN), wide area network (WAN), and Internet systems or a segment of a network system. Monitor network to ensure network availability to all system users and may perform necessary maintenance to support network availability. May monitor and test Web site performance to ensure Web sites operate correctly and without interruption. May assist in network modeling, analysis, planning, and coordination between network and data communications hardware and software. May supervise computer user support specialists and computer network support specialists. May administer network security measures."
15-1151.00,Computer User Support Specialists,"Provide technical assistance to computer users. Answer questions or resolve computer problems for clients in person, or via telephone or electronically. May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems."
15-2011.00,Actuaries,"Analyze statistical data, such as mortality, accident, sickness, disability, and retirement rates and construct probability tables to forecast risk and liability for payment of future benefits. May ascertain insurance rates required and cash reserves necessary to ensure payment of future benefits."
15-2031.00,Operations Research Analysts,"Formulate and apply mathematical modeling and other optimizing methods to develop and interpret information that assists management with decision making, policy formulation, or other managerial functions. May collect and analyze data and develop decision support software, service, or products. May develop and supply optimal time, cost, or logistics networks for program evaluation, review, or implementation."
17-1022.00,Surveyors,"Make exact measurements and determine property boundaries. Provide data relevant to the shape, contour, gravitation, location, elevation, or dimension of land or land features on or near the earth's surface for engineering, mapmaking, mining, land evaluation, construction, and other purposes."
17-2021.00,Agricultural Engineers,"Apply knowledge of engineering technology and biological science to agricultural problems concerned with power and machinery, electrification, structures, soil and water conservation, and processing of agricultural products."
17-2031.00,Biomedical Engineers,"Apply knowledge of engineering, biology, and biomechanical principles to the design, development, and evaluation of biological and health systems and products, such as artificial organs, prostheses, instrumentation, medical information systems, and health management and care delivery systems."
