Name,Onet #,Uuid,Description,Related Skills
Light Truck or Delivery Services Drivers,53-3033.00,cbefcd9bb1cb17dd93b7499699aa283b,"Drive a light vehicle, such as a truck or van, with a capacity of less than 26,000 pounds Gross Vehicle Weight (GVW), primarily to deliver or pick up merchandise or to deliver packages. May load and unload vehicle.","customer and personal service,far vision,transportation,spatial orientation,multilimb coordination"
Automotive Service Technicians and Mechanics,49-3023.00,ed785c37335e6b622bba481f355ed212,"Diagnose, adjust, repair, or overhaul automotive vehicles.",
Taxi Drivers and Chauffeurs,53-3041.00,f0bdd0d2dd4e48029e474d2fa3049243,"Drive automobiles, vans, or limousines to transport passengers. May occasionally carry cargo. Includes hearse drivers.","customer and personal service,oral comprehension,reaction time,near vision,control precision"
"Painters, Construction and Maintenance",47-2141.00,740eeb4b0fad82f30a1c37551d75dccf,"Paint walls, equipment, buildings, bridges, and other structural surfaces, using brushes, rollers, and spray guns. May remove old paint to prepare surface prior to painting. May mix colors or oils to obtain desired color or consistency.","public safety and security,administration and management,english language,customer and personal service,arm-hand steadiness"
Maids and Housekeeping Cleaners,37-2012.00,ab62c50de3e2feed38433656eef5ac7c,"Perform any combination of light cleaning duties to maintain private households or commercial establishments, such as hotels and hospitals, in a clean and orderly manner. Duties may include making beds, replenishing linens, cleaning rooms and halls, and vacuuming.","customer and personal service,service orientation,trunk strength,extent flexibility,stamina"
Bartenders,35-3011.00,5008fbbbe9a3fb51b867da5a34bed94b,"Mix and serve drinks to patrons, directly or through waitstaff.","customer and personal service,oral expression,oral comprehension,active listening,service orientation"
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37-2011.00,f0f90d236fc2c103c4f9bb850d937c32,"Keep buildings in clean and orderly condition. Perform heavy cleaning duties, such as cleaning floors, shampooing rugs, washing walls and glass, and removing rubbish. Duties may include tending furnace and boiler, performing routine maintenance activities, notifying management of need for repairs, and cleaning snow or debris from sidewalk.","customer and personal service,oral comprehension,static strength,trunk strength,near vision"
Landscaping and Groundskeeping Workers,37-3011.00,8fad85918dacf28b9980dbdadfc929e7,"Landscape or maintain grounds of property using hand or power tools or equipment. Workers typically perform a variety of tasks, which may include any combination of the following: sod laying, mowing, trimming, planting, watering, fertilizing, digging, raking, sprinkler installation, and installation of mortarless segmental concrete masonry wall units.","multilimb coordination,english language,manual dexterity,trunk strength,customer and personal service"
Team Assemblers,51-2092.00,e111872533184d3a0a0dbbb5739f50c8,Work as part of a team having responsibility for assembling an entire product or component of a product. Team assemblers can perform all tasks conducted by the team in the assembly process and rotate through all or most of them rather than being assigned to a specific task on a permanent basis. May participate in making management decisions affecting the work. Includes team leaders who work as part of the team.,"production and processing,manual dexterity,problem sensitivity,finger dexterity,oral comprehension"
Advertising Sales Agents,41-3011.00,17904646c9da057aa5fec48ed7e018f2,"Sell or solicit advertising space, time, or media in publications, signage, TV, radio, or the Internet. Includes individuals who obtain leases for outdoor advertising sites or persuade retailers to use sales promotion display items.","sales and marketing,customer and personal service,social perceptiveness,oral expression,speech clarity"
"Maintenance and Repair Workers, General",49-9071.00,e3142246ca8392c9c96dce5a86b92781,"Perform work involving the skills of two or more maintenance or craft occupations to keep machines, mechanical equipment, or the structure of an establishment in repair. Duties may involve pipe fitting; boiler making; insulating; welding; machining; carpentry; repairing electrical or mechanical equipment; installing, aligning, and balancing new equipment; and repairing buildings, floors, or stairs.","equipment maintenance,repairing,arm-hand steadiness,manual dexterity,near vision"
"Office Clerks, General",43-9061.00,9289770a4f301bb15f6453cca0503de5,"Perform duties too varied and diverse to be classified in any specific office clerical occupation, requiring knowledge of office systems and procedures. Clerical duties may be assigned in accordance with the office procedures of individual establishments and may include a combination of answering telephones, bookkeeping, typing or word processing, stenography, office machine operation, and filing.","clerical,customer and personal service,oral comprehension,oral expression,english language"
"Helpers, Construction Trades, All Other",47-3019.00,fb4c969a1798c9ef2a3cc8a5353ebf6f,All construction trades helpers not listed separately.,
Construction Managers,11-9021.00,fd58273323ffd1fd85c98abd4836afb6,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.","building and construction,english language,problem sensitivity,administration and management,engineering and technology"
Construction Laborers,47-2061.00,b96501c075b2c8ffdc19d149200092e8,"Perform tasks involving physical labor at construction sites. May operate hand and power tools of all types: air hammers, earth tampers, cement mixers, small mechanical hoists, surveying and measuring equipment, and a variety of other equipment and instruments. May clean and prepare sites, dig trenches, set braces to support the sides of excavations, erect scaffolding, and clean up rubble, debris and other waste materials. May assist other craft workers.","building and construction,manual dexterity,arm-hand steadiness,mechanical,multilimb coordination"
